zipcode, month, monthly response-time average
11235,2,49.147554466231064
11364,1,44.812066115702464
11211,2,97.60991625816973
10462,2,105.10628726871838
11355,2,73.87332651948749
10302,5,155.8640144869751
10033,4,202.57805781966334
10308,6,92.9923449746428
10001,2,61.458914325355586
11106,4,95.8546345801245
10019,3,83.90214306732554
10014,4,144.41724879777294
11369,4,144.29492095754338
10458,2,123.62824670739319
10033,6,262.8100770012488
10452,6,248.8080585619599
11430,5,1056.0318114657214
10120,1,17.694444444444446
10075,5,424.5606238615666
11203,2,93.2829853147297
11001,1,52.12159003831417
11204,6,135.0088987093153
11220,4,125.48588377349492
11238,2,83.01507429645814
10010,6,362.243380658436
11106,3,75.09000555864347
11355,4,87.55642857142841
11372,6,204.46099997279381
11361,3,87.27540284863954
10022,5,190.3443101469241
10034,3,93.90191473559152
11220,2,67.76936768425388
11747,1,22.549444444444443
10011,6,306.65169319681155
10025,2,77.76971462774185
10027,2,97.16958223971993
10032,3,128.93940278957825
11234,6,139.51727849462353
11691,3,99.88910151667494
11105,3,69.16648047504026
11104,6,220.30354812061063
10456,5,197.14905736698174
11366,2,15.426508029008032
11222,4,92.40734820177477
11207,2,101.86052671937115
11355,3,85.2900300475574
10019,10,300.4437708982354
10027,4,180.59748198668294
10027,3,136.33521209774582
11230,2,77.10034671717173
10456,4,145.02610976553328
10023,6,608.6667194534085
10013,3,99.67236197377476
10021,3,145.58833886124927
11214,6,152.8590407986109
11105,2,51.196469178969146
11249,3,118.51197784200372
11249,8,146.56910466705736
10465,2,65.99770811003926
10031,4,163.82068683177673
11102,3,88.16543549043553
11375,2,45.65588966707268
11102,4,69.95529723681658
11420,9,178.64733045100016
11226,10,119.15971461437371
11203,9,194.44849042863072
10456,2,127.14651967592633
10462,4,169.03128889794786
10312,5,121.12569096900437
10025,6,302.9302415053075
11379,6,144.44502396322392
11220,11,340.4058667138488
11232,3,120.765644055658
10025,4,197.30180932451302
10314,6,107.62289810786545
10278,1,0.4182921810699587
10452,3,122.2155212285458
10179,1,21.087777777777777
10107,1,0.8569444444444445
10003,6,418.31108275364966
11233,3,130.57641655080536
11204,2,75.64224967365418
11361,9,183.76096888607927
11209,2,75.25282666784132
11231,7,99.27772424378564
10023,2,79.76218337218337
11233,10,182.09227641951645
11236,6,163.74700141737537
10459,4,168.31762905092629
11366,5,24.779085220500612
11428,4,142.77260530137994
11433,7,107.5447667037347
10282,1,33.74349137931034
11233,6,294.08164363452215
11417,3,66.33068216410673
11433,5,132.07912263848857
11101,3,54.06741138736725
10027,6,261.3747383270369
10001,3,83.4007972459638
10017,5,222.59979989035105
11204,10,204.69461215932876
11249,6,170.60894095860561
10034,5,188.07009960462224
11221,2,87.9141425179432
10463,2,98.4948942523887
10451,2,128.43589701225397
11216,3,161.49967389364662
11216,4,188.75134302205723
11236,3,89.33557374839977
10025,10,165.9580538765053
11430,4,980.4607940663176
10022,4,229.05398522603468
11238,3,119.38925361725356
11429,10,331.7366427203063
10000,3,320.1775295508275
10031,2,85.14323207320726
11423,3,92.70473862942619
10472,2,105.37529989334332
10065,6,303.00734643179743
10466,2,78.92399836970151
11218,11,192.2637557006635
10075,6,521.0883463832959
10022,6,457.99989808429194
11233,2,118.04013421224562
10032,2,91.19587519368258
11385,2,43.21198189762786
10031,6,221.24021448888823
11229,2,43.39929154622453
10012,4,138.2051940606412
11204,4,125.05243320534339
11205,2,62.36201541127967
10026,3,123.02761118215382
10021,6,470.348207293196
10458,3,148.5363097013588
10467,4,168.35876644784238
10469,2,88.92722464646455
10024,3,129.02898113008663
10458,5,207.24687134502946
10128,3,113.8336027034018
10013,2,82.05656718164805
11230,3,81.07656871286254
10461,4,100.4040817677062
11367,6,148.39776998378886
10019,2,51.380806497476364
11369,9,290.5732048913528
11231,6,128.10937957804657
10040,5,198.83654547774012
10014,5,135.4962220101781
